image,description,display name,category
34848.jpg,"Show your competition what fast looks like in these men's adidas f5 TRX FG soccer cleats. They have a highly visible, lightweight synthetic upper with the Traxion FG outsole that goes from flat-out speed to razor-sharp turns on firm ground. Upper Synthetic upper for light weight and easy cleaning Asymmetrical lacing and flat laces for larger kicking area and better ball contact Firm heel counter to give support to your heel Raised heel tab at back heel which protects the Achilles tendon and locks the shoe in place Soft, mesh, cushioned collar Die-cut EVA insole for comfort and light weight Agion anti-microbial treatment in the insole stops odors and prevents bacterial and fungal growth with environmentally friendly technology Outsole Lightweight Traxion outsole with fixed moulded cleats Outsole is suitable for very hard and dry natural ground or cinder surfaces Shoe care Wash upper in cold water and air dry Don't expose the shoe to direct sunlight or heat Don't use solvent based care products or leather creams",ADIDAS Men Trx HG Black Sports Shoes,Sports Shoes
46334.jpg,"White and purple running shoes with central lace up and branding at the heel collar Mesh upper with silver synthetic overlays at the midfoot region and reinforced overlay around the toe box and on the heel collar Mesh padded inner, tongue and a padded footbed with removable sock liner Upper adhered to the outsole Slim zig-zag TPU outsole with flex grooves around the periphery for better mobility",Reebok Women White Zignano Race Sports Shoes,Sports Shoes
57983.jpg,"White, black and grey printed, woven top, has a U neckline, cap sleeves, black binding around the neckline and sleeves and elasticated at the hemline on the sides",Latin Quarters Women Black & White Top,Tops
27004.jpg,"Composition Washed light blue jeggings made of 73% cotton, 24% polyester and 3% spandex, with an elasticated waist, stitch detailing and two pockets on the back   Fit  Slim   Wash care  Machine or hand wash in cold water at 30 degrees with like colours using a mild detergent Do not bleach or wring Flat dry in shade Warm iron; do not iron on decorations  If you're a denim person, these jeggings from jealous 21 are perfect for you. Designed to contour the hips and fit the waist to perfection, the label gets it right every time - you might not want to take these off once you pull them on! It'll go perfectly with your t-shirts and dressy tops, style this tastefully with in-season accessories and heels.   Model statistics  The product is a size 28 on a model of height 5'8” and waist 28""",Jealous 21 Women Washed Light Blue Jeggings,Jeggings
24217.jpg,"Perfect for underpronators and runners with a natural gait, the nike Zoom Vomero+ 6 has lightweight cushioning as its predecessors, but with a better Fit and support. With a Gender specific midfoot and elasticated mesh panels that lock the foot in place, it supports all phases of your run. Being a nike+ range shoe, you can add on to it compatible iPod nanos, Sports watches, sport bands and others from the Nike+ range and clock your runs, calories, track your routes and much more. Upper Heavily meshed upper with elasticated mesh panels on the forefoot and mouth, and fixed panels on the sides and backfoot for maximum ventilation and to lock the fit in place to create an adaptable fit Synthetic overlays with swoosh branding on the sides for shoe structure Padded sockliner for in-step comfort Lace-up system with cushioned tongue for snug fit Mesh inner sleeve that wraps around the entire foot for a plush, comfortable fit Reflective elements for safe running even in low light conditions Midsole Nike Zoom units in the forefoot and heel for responsive cushioning Full length Cushlon midsole for lightweight comfort, impact protection and durability Outsole Blown Rubber outsole with BRS 1000 crash pad in the heel for efficient stride and maximum cushioning Multiple rubber and traction patterns offering a smooth stride Gender specific flex grooves for improved flexibility and a more natural range of motion offering a seamless heel to toe transition Transparent trusstic unit in the medial arch with extra support to stabilize the foot and allow natural motion, especially to underpronators Shoe care Do not machine wash Remove dust and dirt with dry clean cloth",Nike Men Zoom Vomero Grey Sports Shoes,Sports Shoes
52376.jpg,"Peach knee-length nightdress with heart prints at the yoke, shoulder straps with bow detail, round necline, flower shaped applique on the left waist, four bow details on the front and an elasticated hem",Red Rose Women Peach Nightdress,Nightdress
54941.jpg,"Teal coloured, knitted, one shoulder top, short sleeve, graphic print on the front and print on the back with stitched detail",Do u speak green Women Teal Top,Tops
11451.jpg,"Composition Black pique polo neck t-shirt made of 100% cotton, that has short sleeves, ribbed collar and cuffs, tape detailing on the inseam of the collar, buttoned chest placket, brand logo embroidered on the upper left chest and vented hems Fitting Regular Wash care Machine wash in 30 degrees using mild detergent Do not dry clean, tumble dry, wring, scrub or bleach Dry flat in shade Warm iron Do not iron directly on print/embroidery Update your sophisticated style with this black polo neck t-shirt from United Colours of Benetton. The embroidered brand logo on the upper left chest adds an interesting element to this t-shirt, while the cotton fabric keeps you fresh and comfortable all day. Team this with jeans or chinos and comfortable-yet-stylish lifestyle footwear from the wide collection available at myntra for casual occasions. Model statistics The model wears size M in t-shirts Height-5'11"", Shoulders-18""",United Colors of Benetton Men Light Black Tshirts,Tshirts
59043.jpg,"Black sandals with forefoot straps and a bow detail with sequinned upper Narrow heel collar with a buckled ankle loop Upper adhered to the outsole with a textured tough outsole Golden coloured tapering, slim heel",Carlton London Women Black Heels,Heels
44146.jpg,"Style Note nike fragrances greets you with sporty fragrances that are long lasting and smell great. Put yourself in nike Fragrances' expert care with this deodorant. Product Details Nike Fragrances Extreme is a sporty deodorant for women that comes in an aerosol spray canister Caution Do not use near fire, flame or heat Avoid spraying in eyes Size 200 ml",Nike Fragrances Women Extreme Deo,Deodorant
25608.jpg,"Taking traditional designs and giving them a modern twist is what makes fastrack watches irreplaceable timepieces. This watch refuses to conform, with its stylish dial and minimalist design, backed up by a steel case for optimal performance. Wear this with trendy, casual ensembles - colour-pop tees, denims and sports shoes .   Case diameter : 29 mm  Case thickness : 5 mm  Dial shape : Quadrilateral  Steel case with a fixed bezel for added durability, style and comfort Genuine leather strap with tang clasp for comfort and style White and orange dial with branding at the 9 hour mark and brand logo at the 3 hour mark Analogue date aperture at the 3 hour mark Quartz movement of time display Screw to reset time Solid case back made of stainless steel for enhanced durability Water resistance up to 50 meters, allowing you to use it even when showering",Fastrack Men Black Casual Watch,Watches
